Cada	QU	cada
dos	CARD	dos
días	NC	día
de	PREP	de
2017	CARD	@card@
‘	NC	<unknown>
nació	VLfin	nacer
’	VLfin	<unknown>
un	ART	un
milmillonario	NC	<unknown>
El	ART	el
Foro	NC	foro
Económico	ADJ	económico
propone	VLfin	proponer
un	ART	un
nuevo	ADJ	nuevo
índice	NC	índice
para	CSUBI	para
medir	VLinf	medir
el	ART	el
desempeño	NC	desempeño
económico	ADJ	económico
de	PREP	de
forma	NC	forma
más	ADV	más
inclusiva	ADJ	<unknown>
.	FS	.
España	NP	España
ocupa	VLfin	ocupar
el	ART	el
puesto	NC	puesto
26	CODE	@card@
entre	PREP	entre
los	ART	el
29	CARD	@card@
países	NC	país
desarrollados	VLadj	desarrollar
inclusivos	ADJ	<unknown>
22	CARD	@card@
ENE	NC	<unknown>
2018	CARD	@card@
-	DASH	-
10:15CET	NC	<unknown>
No	NEG	no
hay	VHfin	haber
una	ART	un
introducción	NC	introducción
.	FS	.
